OFFER_ID,OFFER_LINE_ID,OFFER_DATE,EXPECTED_JOIN_DATE,STUDENT_ID,COMPANY_ID,COLLEGE_ID,ROLE_TITLE,OFFER_LEVEL,CTC_LPA,MONTHLY_STIPEND,JOB_CITY,HIRING_MODE,OFFER_STATUS,IS_JOINED,UPDATED_AT
OF9001,1,2026-01-20,2026-06-10,ST0009,CO004,CL006,QA Engineer,INTERN,7.3,58200.0,Noida,ON_CAMPUS,OFFERED,0,2026-01-01 10:01:00
OF9002,1,2026-01-02,2026-06-23,ST0010,CO006,CL012,Data Analyst,INTERN,19.17,108549.0,Bengaluru,OFF_CAMPUS,WITHDRAWN,0,2026-01-01 10:02:00
OF9003,1,2026-01-19,2026-06-18,ST0019,CO001,CL007,Software Engineer,FTE,41.36,0.0,Bengaluru,REFERRAL,JOINED,1,2026-01-01 10:03:00
OF9004,1,2026-01-02,2026-06-03,ST0020,CO011,CL003,Data Engineer,FTE,7.22,0.0,Chennai,OFF_CAMPUS,JOINED,1,2026-01-01 10:04:00
OF9005,1,2026-01-05,2026-06-10,ST0003,CO008,CL008,Business Analyst,INTERN,40.96,92394.0,Chennai,REFERRAL,ACCEPTED,0,2026-01-01 10:05:00
OF9006,1,2026-01-26,2026-07-14,ST0012,CO002,CL002,ML Engineer,INTERN,39.78,58801.0,Bengaluru,ON_CAMPUS,REJECTED,0,2026-01-01 10:06:00
OF9007,1,2026-01-19,2026-06-02,ST0020,CO011,CL003,Consultant,FTE,28.1,0.0,Chennai,REFERRAL,OFFERED,0,2026-01-01 10:07:00
OF9008,1,2026-01-03,2026-06-12,ST0004,CO005,CL004,Consultant,FTE,20.23,0.0,Hyderabad,REFERRAL,WITHDRAWN,0,2026-01-01 10:08:00
OF9009,1,2026-01-15,2026-07-27,ST0015,CO014,CL004,Data Engineer,INTERN,17.06,24212.0,Bengaluru,ON_CAMPUS,ACCEPTED,0,2026-01-01 10:09:00
OF9010,1,2026-01-23,2026-06-15,ST0016,CO013,CL014,ML Engineer,FTE,40.8,0.0,Pune,OFF_CAMPUS,JOINED,1,2026-01-01 10:10:00
OF9011,1,2026-01-05,2026-08-26,ST0020,CO004,CL003,Data Analyst,FTE,31.23,0.0,Noida,OFF_CAMPUS,REJECTED,0,2026-01-01 10:11:00
OF9012,1,2026-01-08,2026-07-12,ST0013,CO011,CL003,DevOps Engineer,INTERN,30.18,99390.0,Chennai,ON_CAMPUS,ACCEPTED,0,2026-01-01 10:12:00
OF9013,1,2026-01-13,2026-06-29,ST0019,CO015,CL007,Business Analyst,INTERN,10.02,67129.0,Noida,ON_CAMPUS,OFFERED,0,2026-01-01 10:13:00
OF9014,1,2026-01-09,2026-06-22,ST0004,CO008,CL004,ML Engineer,FTE,41.99,0.0,Chennai,OFF_CAMPUS,REJECTED,0,2026-01-01 10:14:00
OF9015,1,2026-01-21,2026-08-06,ST0016,CO011,CL014,Business Analyst,FTE,17.47,0.0,Chennai,ON_CAMPUS,JOINED,1,2026-01-01 10:15:00
OF9016,1,2026-01-20,2026-06-06,ST0009,CO010,CL006,Business Analyst,FTE,30.8,0.0,Chennai,REFERRAL,OFFERED,0,2026-01-01 10:16:00
OF9017,1,2026-01-21,2026-06-18,ST0013,CO008,CL003,QA Engineer,INTERN,35.65,42973.0,Chennai,ON_CAMPUS,OFFERED,0,2026-01-01 10:17:00
OF9018,1,2026-01-21,2026-06-15,ST0015,CO002,CL004,Business Analyst,INTERN,32.22,35931.0,Bengaluru,OFF_CAMPUS,JOINED,1,2026-01-01 10:18:00
OF9019,1,2026-01-06,2026-06-02,ST0016,CO009,CL014,Software Engineer,INTERN,13.67,96751.0,Chennai,REFERRAL,WITHDRAWN,0,2026-01-01 10:19:00
OF9020,1,2026-01-17,2026-08-18,ST0006,CO007,CL002,QA Engineer,INTERN,21.12,108728.0,Hyderabad,OFF_CAMPUS,ACCEPTED,0,2026-01-01 10:20:00
OF9021,1,2026-01-15,2026-07-29,ST0007,CO011,CL002,Software Engineer,FTE,26.78,0.0,Chennai,REFERRAL,WITHDRAWN,0,2026-01-01 10:21:00
OF9022,1,2026-01-26,2026-07-14,ST0015,CO006,CL004,QA Engineer,INTERN,33.74,100926.0,Bengaluru,REFERRAL,OFFERED,0,2026-01-01 10:22:00
OF9023,1,2026-01-07,2026-07-02,ST0013,CO002,CL003,DevOps Engineer,FTE,15.11,0.0,Bengaluru,REFERRAL,OFFERED,0,2026-01-01 10:23:00
OF9024,1,2026-01-12,2026-08-04,ST0003,CO001,CL008,ML Engineer,FTE,26.79,0.0,Bengaluru,OFF_CAMPUS,REJECTED,0,2026-01-01 10:24:00
OF9025,1,2026-01-01,2026-06-28,ST0003,CO007,CL008,Software Engineer,INTERN,26.09,87091.0,Hyderabad,ON_CAMPUS,REJECTED,0,2026-01-01 10:25:00
